tag1,tag2,subsection,term,definition
Psychology,Development,Cognitive & moral development theories,latent content,"according to Freud, the unconscious drives and wishes that are difficult to express and underlie dreams"
Psychology,Development,Cognitive & moral development theories,looking glass self,"idea that a person's sense of self develops from interpersonal interactions with others in society and the perceptions of others. According to this idea, people shape their self-concepts based on their understanding of how others perceive them"
Psychology,Development,Cognitive & moral development theories,manifest content,"according to Freud, the overt storylines of dreams"
Psychology,Development,Cognitive & moral development theories,matrilineal descent,system of lineage in which the relatives on the mother's side are considered most important; an individual belongs to their mother's lineage
Psychology,Development,Cognitive & moral development theories,mere exposure effect,phenomenon where people develop a preference for things because they have been exposed to them (sometimes repeatedly)
Psychology,Development,Cognitive & moral development theories,monogamy,form of marriage in which two individuals are married only to each other
Psychology,Development,Cognitive & moral development theories,Oedipus complex,"complex occurs during phallic stage (3rd stage) of Freud's five psychosexual stages) when a male child is sexually attracted to his mother and hostile toward his father, who is seen as a rival"
Psychology,Development,Cognitive & moral development theories,optimism bias,belief that bad things happen to other people but not to us
Psychology,Development,Cognitive & moral development theories,oral stage,"first of Freud's psychosexual stages, in which the child seeks sensual pleasure through oral activities such as sucking and chewing"
Psychology,Development,Cognitive & moral development theories,preoperational stage,"Piaget's second stage in his developmental theory from ages 2 to 7. During this stage, the children learn to pretend play and the idea that a symbol can represent something else and they remain egocentric"
Psychology,Development,Cognitive & moral development theories,primacy effect,tendency to better recall the first items in a list
Psychology,Development,Cognitive & moral development theories,prospective memory,remembering to do something in the future
Psychology,Development,Cognitive & moral development theories,psychological fixation,"according to Freud, adult personality is largely determined during the first three psychosexual stages. If parents either frustrate or overindulge the child's expression of sensual pleasure at a certain stage so that the child doesn't resolve that stage's developmental conflicts, the child becomes fixated at that stage, and will, as an adult, continue to seek sensual pleasure through behaviors related to that stage"
Psychology,Development,Cognitive & moral development theories,psychosexual stages,"According to Freud's psychoanalytic theory, individuals progress through five psychoseuxal stages, one corresponding to the part of the body that is the focus of sensual pleasure. The five stages are oral, anal, phallic, latent, and genital"
Psychology,Development,Cognitive & moral development theories,recency effect,tendency to recall the last items presented in a list
Psychology,Development,Cognitive & moral development theories,representativeness heuristic,mental shortcut where one judges the likelihood of things based on typical mental representations or examples of those things
Psychology,Development,Cognitive & moral development theories,Sapir-Whorf Hypothesis,"hypothesis asserts that people understand their world through language and that language, in turn, shapes how people experience their world"
Psychology,Development,Cognitive & moral development theories,schemas,mental frameworks or blueprints that shape and are shaped by experience
Psychology,Development,Cognitive & moral development theories,self-actualization (actualizing tendency),"according to humanistic psychology, individuals have an innate drive to maintain and enhance themselves, or realize their human potential, as long as no obstacle intervenes"
Psychology,Development,Cognitive & moral development theories,self-esteem,one's overall self-evaluation of one's self-worth
Psychology,Development,Cognitive & moral development theories,self-reference effect,tendency to better remember information relevant to ourselves
Psychology,Development,Cognitive & moral development theories,self-schemas,beliefs and ideas people have about themselves
Psychology,Development,Cognitive & moral development theories,sleep cycle,"one sleep cycle consists of a progression through sleep stages 1-4 in sequence, followed by an ascension from 4 to 1 and then a transition into REM sleep and it typically takes about 90 minutes"
Psychology,Development,Cognitive & moral development theories,somnambulism,sleepwalking
Psychology,Development,Cognitive & moral development theories,trait,"internal, stable, and enduring aspects of personality that should be consistent across most situations"
Psychology,Development,Cognitive & moral development theories,universal grammar,"basic rules of language, presumed to be innate, that allow the human mind to gain mastery of language from limited exposure during sensitive developmental years in early childohod"
Psychology,Learning,Conditioning & reinforcement,acquisition,"in classical conditioning, the process of learning the association between a conditioned stimulus and response"
Psychology,Learning,Conditioning & reinforcement,associative learning,"process of learning in which one event, object, or action is directly connected with another. Two general categories include classical and operant conditioning"
Psychology,Learning,Conditioning & reinforcement,behaviorism,"according to this perspective, personality is a result of learned behavior patterns based on a person's environment. Behaviorism is deterministic, proposing that people begin as blank slates, and that environmental reinforcement and punishment completely determine an individual's subsequent behavior and personality"
Psychology,Learning,Conditioning & reinforcement,escape learning,"through operant conditioning, this is the process of learning to engage in a particular behavior in order to get away from a negative or aversive stimulus"
Psychology,Learning,Conditioning & reinforcement,extinction,"classical conditioning, unpairing of conditioned and unconditioned stimuli, accomplished by introducing the conditioned stimulus repeatedly in the absences of the unconditioned stimulus"
Psychology,Learning,Conditioning & reinforcement,fixed-interval schedule,reinforcement schedule in which reward is offered after a set period of time has passed
Psychology,Learning,Conditioning & reinforcement,fixed-ratio schedule,reinforcement schedule in which reward is offered after a set number of instances of a behavior
Psychology,Learning,Conditioning & reinforcement,generalization,"in classical conditioning, the process by which stimuli similar to conditioned stimulus also become conditioned stimulus that elicit the conditioned response"
Psychology,Learning,Conditioning & reinforcement,implicit (procedural) memory,memory that involves conditioned associations and knowledge of how to do something
Psychology,Learning,Conditioning & reinforcement,instrumental conditioning,operant conditioning
Psychology,Learning,Conditioning & reinforcement,negative punishment,removal of a positive or rewarding stimulus following a behavior. Tends to increase the frequency of that behavior
Psychology,Learning,Conditioning & reinforcement,negative reinforcement,removal of a negative or aversive stimulus following a behavior and tends to increase the frequency of that behavior
Psychology,Learning,Conditioning & reinforcement,nonassociative learning,learning that occurs in the absence of associating specific stimuli or events. Two types are habituation and sensitization
Psychology,Learning,Conditioning & reinforcement,norms,visible and invisible rules of social conduct within a society. Norms help define what types of behaviors are acceptable and in accordance with a society's values and beliefs. Formal norms are generally written down; laws are examples of formal norms. Informal norms are generally understood but are less precise and often carry no specific punishments
Psychology,Learning,Conditioning & reinforcement,"observational learning (vicarious, social learning)","type of learning that occurs when a person watches another person's behavior and its consequences, thereby learning rules, strategies, and expected outcomes in different situations"
Psychology,Learning,Conditioning & reinforcement,operant conditioning,"instrumental conditioning - a form of associative learning based on consequences, in which rewards increase the frequency of behaviors associated with them and punishments decrease their frequency"
Psychology,Learning,Conditioning & reinforcement,punishment,"in operant conditioning, a consequence that decreases the likelihood that a preceding behavior will be repeated and types include positive and negative punishment"
Psychology,Learning,Conditioning & reinforcement,reinforcement,consequence that increases the likelihood that a preceding behavior will be repeated. Two types are positive and negative reinforcement
Psychology,Learning,Conditioning & reinforcement,reinforcement schedule,"frequency and regularity with which rewards are offered. Schedules can be based on a number of target behaviors (ratio) or on a time interval (interval). Types include fixed-ratio, variable-ratio, fixed-interval, and variable interval"
Psychology,Learning,Conditioning & reinforcement,sanctions,rewards and punishments for behaviors that are in accord with or against norms
Psychology,Learning,Conditioning & reinforcement,shaping,"in operant conditioning, the process of reinforcing intermediate, proximal behaviors until a final, desired behavior is achieved"
Psychology,Learning,Conditioning & reinforcement,spontaneous recovery,"classical conditioning, a reoccurrence of a previously extinct conditioned response in the presence of a conditioned stimulus and often occurs after a period of time has passed since the initial extinction of the response"
Psychology,Learning,Conditioning & reinforcement,state,"situational factors that can influence personality and behavior; states are unstable, temporary, and variable"
Psychology,Learning,Conditioning & reinforcement,superego,"in Freud's psychoanalytic theory and it inhibits the id and influences the ego to follow moralistic behavior rather than realistic goals. Based on societal values as learned from one's parents, the superego makes judgments of right and wrong and strives for perfection. The superego seeks to gain psychological rewards such as feelings of pride and self-love, and to avoid psychological punishment such as feelings of guilty and inferiority"
Psychology,Learning,Conditioning & reinforcement,unconditioned response,"response that automatically follows an unconditioned stimulus, without necessitating learning and conditoning to create the link"
Psychology,Learning,Conditioning & reinforcement,unconditioned stimulus,"stimulus that elicits an unconditioned response automatically, without necessitating learning and conditioning to create the link"
Psychology,Learning,Conditioning & reinforcement,variable-interval schedule,reinforcement schedule in which reward is offered after an unpredictable number of occurrences of a behavior
Psychology,Learning,Conditioning & reinforcement,variable-ratio schedule,reinforcement schedule in which reward is offered after an unpredictable time interval
Sociology,Social Structure,Demographics & population change,crude birth rate,annual number of live births per thousand people in a population
Sociology,Social Structure,Demographics & population change,cultural universals,"patterns or traits that are common to all people; cultural universals tend to pertain to basic human survival and needs, such as securing food and shelter, and also pertain to events that every human experiences, including birth, death and illness"
Sociology,Social Structure,Demographics & population change,demography,"the study of human population dynamics, including the size, structure, and distribution of a population, and changes in the population over time due to birth, death, and migration"
Sociology,Social Structure,Demographics & population change,deviance,violation of a society's standards of conduct or expectations
Sociology,Social Structure,Demographics & population change,dramaturgical approach,"assumes that people are theatrical performers and that everyday life is a stage; just as actors project a certain on-screen image, people in society choose what kind of image they want to communicate verbally and nonverbally to others. Also called the dramaturgical perspective"
Sociology,Social Structure,Demographics & population change,ethnicity,socially defined concept referring to whether or not people identify with each other based on shared social experience or ancestry
Sociology,Social Structure,Demographics & population change,fecundity,potential reproductive capacity of a female in a population
Sociology,Social Structure,Demographics & population change,food desert,"an area, typically in a highly populated lower income urban environment, where healthy, fresh food is difficult to find"
Sociology,Social Structure,Demographics & population change,general fertility rate,annual number of live births per 1000 women of childbearing age within a population
Sociology,Social Structure,Demographics & population change,generalized other,"when a person tries to imagine what is expected of them from society, they are taking on the perspective of the generalized other"
Sociology,Social Structure,Demographics & population change,global inequality,extent to which income and wealth is distributed in an uneven manner among the world's population
Sociology,Social Structure,Demographics & population change,Harry and Margaret Harlow,Researchers known for their controversial experiments with monkeys in which they showed that baby monkeys are drawn to mothers that provide comfort rather than simply food. Also showed that monkeys raised in isolation developed severe mental and social deficits
Sociology,Social Structure,Demographics & population change,healthcare disparities,"population-specific differences in the presences of disease, health outcomes, and quality of healthcare across different social groups"
Sociology,Social Structure,Demographics & population change,informational social influence,the process of complying because we want to do the right thing and we feel like others know something I don't know
Sociology,Social Structure,Demographics & population change,latent functions,"unintended or less recognizable consequences or a social structure; can be considered beneficial, neutral, or harmful"
Sociology,Social Structure,Demographics & population change,manifest functions,intended and obvious consequences of a social structure
Sociology,Social Structure,Demographics & population change,matriarchy,social system where females (especially mothers within families) are the primary authority figures
Sociology,Social Structure,Demographics & population change,mechanoreceptor,"sensory receptor that responds to mechanical disturbances, such as shape changes (being squashed, bent, pulled). Mechanoreceptors include touch receptors in the skin, hair cells in the ear, muscle spindles, and others"
Sociology,Social Structure,Demographics & population change,mortality,death rate in a population
Sociology,Social Structure,Demographics & population change,multiculturalism (pluralism),"perspective that endorses equal standing for all cultural traditions. It promotes the idea of cultures coming together in a true melting pot, rather than in a hierarchy"
Sociology,Social Structure,Demographics & population change,normative social influence,when the motivation for compliance is a desire for the approval of others and to avoid rejection
Sociology,Social Structure,Demographics & population change,replacement level fertility,number of children that a woman or couple must have in order to replace the number of the people in the population who die
Sociology,Social Structure,Demographics & population change,social behaviorism,idea that the mind and self emerge through the process of communicating with others
Sociology,Social Structure,Demographics & population change,social dysfunction,process that has undesirable consequences and may actually reduce the stability of society
Sociology,Social Structure,Demographics & population change,social epidemiology,"study of the distribution of health and disease across a population, with the focus on using social concepts to explain patterns of health and illness in a population"
Sociology,Social Structure,Demographics & population change,social facilitation effect,"phenomenon that describes how people tend to perform simple, well-learned tasks better when other people are present"
Sociology,Social Structure,Demographics & population change,social facts,"elements that serve some function in society, such as the laws, morals, values, religions, customs, rituals, and rules that make up a society"
Sociology,Social Structure,Demographics & population change,social network,"web of social relationships, including those in which a person is directly linked to others as well as those in which people are indirectly connected through others"
Sociology,Social Structure,Demographics & population change,social perception,ability to understand others in our social world; the initial information we process about other people in order to try to understand their mindsets and attentions
Sociology,Social Structure,Demographics & population change,social reproduction,structures and activities in place in a society that serve to transmit and reinforce social inequality from one generation to the next - cultural and social capital are two mechanisms by which social reproduction occurs
Sociology,Social Structure,Demographics & population change,social phobia,"unreasonable, paralyzing fear of feeling embarrassed or humiliated while one is watched by others, even while performing routing activities such as eating in public or using a public restroom"
Sociology,Social Structure,Demographics & population change,urbanization,"growth of urban areas (as people move from rural to urban areas) as the result of global change. Urbanization is tied to industrialization, and industrialized countries have more people living in urban areas than non-industrialized countries do"
Psychology,Development,Lifespan stages & milestones,action potential,"localized change in the neuron's membrane potential that propagates away from its point of origin. All-or-none processes mediated by the opening of voltage gated sodium and potassium channels when the membrane is brought to threshold potential; opening of sodium channels causes characteristic depolarization, while opening sodium channels repolarizes the membrane"
Psychology,Development,Lifespan stages & milestones,actor-observer bias/self-serving bias,tendency to blame our actions on the situation and blame the actions of others on their personalities
Psychology,Development,Lifespan stages & milestones,availability heuristic,mental shortcut of making judgments on the frequency of something occurring based on how readily it is available in our memories
Psychology,Development,Lifespan stages & milestones,belief perseverance,maintenance of beliefs in the face of evidence to the contrary
Psychology,Development,Lifespan stages & milestones,central route,cognitive route of persuasion based on the content and deeper aspects of an argument
Psychology,Development,Lifespan stages & milestones,cocktail party effect,"phenomenon of information of personal importance from previously unattended channels ""catching"" one's attention"
Psychology,Development,Lifespan stages & milestones,depolarization,movement of the membrane potential of a cell away from the resting potential to a more positive membrane potential
Psychology,Development,Lifespan stages & milestones,discrimination in brain,occurs when the conditioned stimulus is differentiated from another stimuli
Psychology,Development,Lifespan stages & milestones,dissociative fugue,"disorder when someone suddenly goes on a journey, during which he or she cannot recall personal history prior to the journey"
Psychology,Development,Lifespan stages & milestones,dynamic equilibrium,occurs when complex societies contain many different but interdependent parts working together to maintain stability
Psychology,Development,Lifespan stages & milestones,environmental injustice,when people in poorer communities are more likely to be subjected to negative environmental impacts to their health and well-being
Psychology,Development,Lifespan stages & milestones,estrogen,"primary female sex hormone. Estrogen stimulates the development of the female secondary sex characteristics during puberty maintains those characteristics during adulthood, stimulates the development of new uterine lining after menstruation, and stimulates mammary gland development during pregnancy"
Psychology,Development,Lifespan stages & milestones,false consensus,occurs when we assume that everyone else agrees with what we do (even though they may not)
Psychology,Development,Lifespan stages & milestones,functional fixedness,tendency to perceive the functions of objects as fixed and unchanging
Psychology,Development,Lifespan stages & milestones,genital stage,"fifth of Freud's five psychosexual stages, begins in adolescence, when sexual themes resurface and a person's life/sexual energy fuels activities such as friendships, art, sports, and careers"
Psychology,Development,Lifespan stages & milestones,growth hormone,"hormone released by the anterior pituitary that targets all cells in the body. GH stimulates whole body growth in children and adolescents, and increases cell turnover rate in adults"
Psychology,Development,Lifespan stages & milestones,habit,action that is performed repeatedly until it becomes automatic
Psychology,Development,Lifespan stages & milestones,insecure attachment,"style of relating to others that forms when an infant has caregivers who are inconsistently responsive or unresponsive to needs. In Ainsworth's experiments, insecurely attached infants were found to be less likely to explore their surroundings in the presence of their mother. They may be extremely upset or demonstrate indifference when the mother returned to the room"
Psychology,Development,Lifespan stages & milestones,intellectual disability,classification for individuals who have an IQ below 70 and functional impairment in their everyday lives (called mental retardation)
Psychology,Development,Lifespan stages & milestones,K-complex,large and slow wave with a duration of a half second that occurs in Stage 2 sleep
Psychology,Development,Lifespan stages & milestones,language acquisition,process by which infants learn to understand and speak their native language
Psychology,Development,Lifespan stages & milestones,language acquisition device,"innate feature unique to the human mind that allows people to gain mastery of language from limited exposure during sensitive developmental years in early childhood, as hypothesized by Noam Chomsky"
Psychology,Development,Lifespan stages & milestones,long-term memory,"information that is retained long-term, potentially indefinitely; it is believed to have an infinite capacity"
Psychology,Development,Lifespan stages & milestones,manic episode,"experience of an abnormal euphoric, unrestrained, or irritable mood, with at least three of the following symptoms: grandiose, exaggerated, or delusional self-esteem, high energy with little need for sleep, increased talkativeness and pressured speech, poor judgment; increased psychomotor and goal directed activity, and distractability with flight of ideas or racing thoughts"
Psychology,Development,Lifespan stages & milestones,mental set,"tendency to fixate on ideas and solutions that have worked in the past, even if they may not apply to the current situation"
Psychology,Development,Lifespan stages & milestones,Mindfulness-based stress reduction (MBSR),"Protocol involving mindfulness meditation shown to be effective for helping individuals with pain, stress, and anxiety"
Psychology,Development,Lifespan stages & milestones,moro reflex,"startle reflex, in response to a loud sound or sudden movement, and infant will startle; the baby throws back its head and extends its arms and legs, cries, then pulls the arms and legs back in. This reflex is present at birth, and lasts until about six months"
Psychology,Development,Lifespan stages & milestones,nonverbal communication,involves all of the methods for communication that we use that do not include words
Psychology,Development,Lifespan stages & milestones,object permanence,understanding that things continue to exist once they are out of sight
Psychology,Development,Lifespan stages & milestones,parallel processing,system whereby many aspects of a stimulus are processed simultaneously instead of in a step-by-step or serial fashion
Psychology,Development,Lifespan stages & milestones,projection bias,"occurs when we assume others have the same beliefs we do, due to our tendency to look for similarities between ourselves and others"
Psychology,Development,Lifespan stages & milestones,racism,"prejudices and discriminatory actions that are based on race (or ethnicity), or hold that one race (or ethnicity) is inferior to another"
Psychology,Development,Lifespan stages & milestones,REM stage,"Final stage of sleep characterized by rapid eye movements (REM) and beta waves, which are seen in individuals when they are awake. Despite these wave patterns, however, the sleeper is paralyzed aside from small twitches, leading to the descriptions of this stage as ""paradoxical sleep."" This is generally when dreams occur."
Psychology,Development,Lifespan stages & milestones,retrograde amnesia,occurs when one is unable to recall information that was previously encoded
Psychology,Development,Lifespan stages & milestones,secure attachment,"style of relating to others that forms when an infant has caregivers who are sensitive and responsive to needs. In Ainsworth's experiments, securely attached infants were found to be willing to explore surroundings in the presence of the mother. They were upset but consolable when the mother left and then returned to the room"
Psychology,Development,Lifespan stages & milestones,selective priming,being predisposed to observe something because it has previously been encountered frequently or is expected
Psychology,Development,Lifespan stages & milestones,self-efficacy,belief in one's own competence and effectiveness
Psychology,Development,Lifespan stages & milestones,self-handicapping,strategy in which people create obstacles and excuses to avoid self-blame when they do poorly
Psychology,Development,Lifespan stages & milestones,sensorimotor stage,first stage of piaget's developmental theory from birth to age 2 where babies learn object permanence and demonstrate stranger anxiety
Psychology,Development,Lifespan stages & milestones,serial position effect,"includes primacy and recency effect and when information is presented serially in a list format, individuals are more likely to recall the first and last items presented"
Psychology,Development,Lifespan stages & milestones,soma,cell body of a neuron
Psychology,Development,Lifespan stages & milestones,stranger anxiety,developmentally typical anxiety displayed by children from approximately 8 to 12 months of age toward close contact with strangers. May be expressed by crying and clinging to familiar caregivers
Psychology,Development,Lifespan stages & milestones,temperament,dispositional emotional excitability. Tends to be fairly stable through life span
Psychology,Development,Lifespan stages & milestones,theta waves,waves of low to moderate intensity and intermediate frequency present during stage 1 of sleep
Psychology,Development,Lifespan stages & milestones,undifferentiated-type SCZ,"characterized by the basic criteria, but symptoms that don't fit into one of the other subtypes"
Psychology,Development,Lifespan stages & milestones,Weber's Law,law pertains to sensory perception and dictates that two stimuli must differ by a constant proportion in order for their difference to be perceptible
Psychology,Learning,Memory & forgetting,central executive,"Part of Alan Baddeley's model of working memory that oversees the visuospatial sketchpad, phonological loop, and episodic buffer. Responsible for shifting and dividing attention"
Psychology,Learning,Memory & forgetting,chunking,memory technique in which information to be remembered is organized into discrete groups of data. this clustering allows more information to be remembered overall
Psychology,Learning,Memory & forgetting,echoic memory,"memory for sound, which lasts for about 3-4 seconds"
Psychology,Learning,Memory & forgetting,encoding,process of transferring sensory information into the memory system
Psychology,Learning,Memory & forgetting,episodic buffer,part of Alan Baddeley's model of working memory that interacts with information in long-term memory
Psychology,Learning,Memory & forgetting,episodic memory,autobiographical memory for information of personal importance
Psychology,Learning,Memory & forgetting,false memory,inaccurate memory created by the power of the imagination or suggestion
Psychology,Learning,Memory & forgetting,iconic memory,"brief photographic memory for visual information, which decays in a few tenths of a second"
Psychology,Learning,Memory & forgetting,infantile amnesia,"lack of explicit memory for events that occurred before the age of roughly 3.5 years. While people are unable to recall memories from this part of their life, learning and memory still do occur even though the cause is unknown"
Psychology,Learning,Memory & forgetting,long-term potentiation,persistent increase in synaptic strength between two neurons that occurs following brief periods of their stimulation. Leads to increase sensitivity of neurons recently stimulated. Believed to play a role in learning and the consolidation of memory from short-term memory to long-term memory
Psychology,Learning,Memory & forgetting,method of loci,"memory device that involves imagining moving through a familiar place, such as your home, and in each place, leaving a visual representation or a topic to be remembered"
Psychology,Learning,Memory & forgetting,misinformation effect,"tendency to misremember an event, particularly when misleading information is presented between the event and the mental encoding of the event"
Psychology,Learning,Memory & forgetting,mnemonic,any memory technique used to promote the retention and retrieval of information
Psychology,Learning,Memory & forgetting,mood-dependent memory,"when learning occurs during a particular emotional state, it is most easily recalled when one is again in that emotional state"
Psychology,Learning,Memory & forgetting,priming,"effect of implicit memory whereby exposure to a given stimulus ""primes"" or prepares the brain to respond to a later stimulus"
Psychology,Learning,Memory & forgetting,proactive interference,type of memory interference that occurs when previously learned information interferes with the recall of information learned more recently
Psychology,Learning,Memory & forgetting,recall,"retrieving information from memory and involves retrieval without any cues, whereas cued recall prompts retrieval with a cue"
Psychology,Learning,Memory & forgetting,recognition,"retrieving information from memory with the use of cues, such as multiple-choice format"
Psychology,Learning,Memory & forgetting,rehearsal,technique of repeating verbal information in one's phonological loop to promote the encoding of sensory information into memory
Psychology,Learning,Memory & forgetting,retroactive interference,type of memory interference that occurs when newly learned information interferes with the recall of information learned previously
Psychology,Learning,Memory & forgetting,semantic memory,memory for factual information
Psychology,Learning,Memory & forgetting,sensory memory,initial recording of sensory information in the memory system; sensory memory is a very brief snapshots that quickly decay
Psychology,Learning,Memory & forgetting,short-term memory,memory that is limited in duration and in capacity
Psychology,Learning,Memory & forgetting,sociobiology,"study of how biology and evolution have affected human social behavior. Primarily, it applies Darwin's principle of natural selection to social behavior, suggesting there is a biological basis for many behaviors"
Psychology,Learning,Memory & forgetting,source monitoring error,specific type of error of recollection where a memory is incorrectly attributed to the wrong source
Psychology,Learning,Memory & forgetting,visuospatial sketchpad,Part of Alan Baddeley's model of working memory that allows for the repetition of visuospatial information (images) to aid with encoding it into memory
Psychology,Learning,Memory & forgetting,working memory,"STM for information in immediate awareness. According to Alan Baddeley, working memory consists of four components: central executive, a phonological loop, a visuospatial sketchpad, and the episodic buffer"
