action potential,"localized change in the neuron's membrane potential that propagates away from its point of origin. All-or-none processes mediated by the opening of voltage gated sodium and potassium channels when the membrane is brought to threshold potential; opening of sodium channels causes characteristic depolarization, while opening sodium channels repolarizes the membrane",Psychology,Development
actor-observer bias/self-serving bias,tendency to blame our actions on the situation and blame the actions of others on their personalities,Psychology,Development
affect,a person's visible emotion in the moment,Psychology,Development
aggregate,people who exist in the same space but do not interact or share a common sense of identity,Psychology,Development
anal stage,the second stage of Freud's five psychosexual stages; in this stage the child seeks sensual pleasure through control of elimination,Psychology,Development
anterograde amnesia,inability to form new memories,Psychology,Development
authoritarian parenting,parenting style in which parents impose strict rules that are expected to be followed unconditionally in an attempt to control children. This style is demanding and often relies on punishment,Psychology,Development
authoritative parenting,"parenting style that places limits on behavior and consistently follows through on consequences, but also expresses warmth and nurturing and allows for two-way communication between parents and children",Psychology,Development
availability heuristic,mental shortcut of making judgments on the frequency of something occurring based on how readily it is available in our memories,Psychology,Development
belief bias,tendency to draw conclusions based on what one already believes rather than sound logic,Psychology,Development
belief perseverance,maintenance of beliefs in the face of evidence to the contrary,Psychology,Development
bilateral descent,system of lineage in which the relatives on the mother's side and father's side are considered equally important,Psychology,Development
bystander effect,fact that a person is less likely to provide help when there are other people around,Psychology,Development
central route,cognitive route of persuasion based on the content and deeper aspects of an argument,Psychology,Development
charismatic authority,"form of leadership where devotion is reliant upon an individual with exceptional charisma (persuasiveness, charm, and ability to connect with people)",Psychology,Development
circadian rhythm,waxing and waning of alertness throughout the 24 hour day,Psychology,Development
cocktail party effect,"phenomenon of information of personal importance from previously unattended channels ""catching"" one's attention",Psychology,Development
concrete operational stage,Piaget's third stage of his developmental theory where children aged 7-11 learn to think logically and learn the principle of conservation as well as mathematical concepts,Psychology,Development
confederates,"person who is working with the experimenter and posing as a part of the experiment, but the subjects are not aware of this affiliation",Psychology,Development
consciousness,"awareness of self, internal states, and the environment",Psychology,Development
depolarization,movement of the membrane potential of a cell away from the resting potential to a more positive membrane potential,Psychology,Development
depth of processing,idea that information that is thought about at a deeper level is better remembered,Psychology,Development
difference threshold (just noticeable difference (JND)),threshold is a minimum noticeable difference between any two sensory stimuli (50%),Psychology,Development
discrimination in brain,occurs when the conditioned stimulus is differentiated from another stimuli,Psychology,Development
discrimination,"unjust treatment of a group, based on group characteristics (such as age, sex, race, ethnicity, disability)",Psychology,Development
dissociative amnesia,"characterized by at least one episode of suddenly forgetting some important personal information, usually related to severe stress or trauma",Psychology,Development
dissociative fugue,"disorder when someone suddenly goes on a journey, during which he or she cannot recall personal history prior to the journey",Psychology,Development
divided attention,ability to focus on multiple tasks simultaneously,Psychology,Development
dual-coding hypothesis,hypothesis that is easier to remember words with associated images than either words or images alone,Psychology,Development
dynamic equilibrium,occurs when complex societies contain many different but interdependent parts working together to maintain stability,Psychology,Development
dyssomnias,"broad category of disorders involving abnormalities in the amount, quality, or timing of sleep including insomnia, narcolepsy, and sleep apnea",Psychology,Development
ego,"in freud's psychoanalytic theory, the ego is ruled by the reality principle, and uses logical thinking and planning to control consciousness and the id (the unconscious driving force ruled by the pleasure principle)",Psychology,Development
ego defense mechanisms,"to cope with this anxiety and protect the ego, all people develop ego defense mechanisms that unconsciously deny or distort reality. ego defense mechanisms are therefore normal, and become unhealthy only when taken to extremes",Psychology,Development
Electra complex,"complex that occurs during the phallic stage (third of Frued's psychosexual stages) when a female child is sexually attracted to her father and hostile toward her mother, who is seen as a rival",Psychology,Development
empathy,ability to identify with others' emotions,Psychology,Development
environmental injustice,when people in poorer communities are more likely to be subjected to negative environmental impacts to their health and well-being,Psychology,Development
estrogen,"primary female sex hormone. Estrogen stimulates the development of the female secondary sex characteristics during puberty maintains those characteristics during adulthood, stimulates the development of new uterine lining after menstruation, and stimulates mammary gland development during pregnancy",Psychology,Development
explicit (declarative) memory,memories that can be consciously recalled such as factual knowledge,Psychology,Development
external locus of control,"belief that one does not have control over outcomes, but they are controlled by outside forces",Psychology,Development
false consensus,occurs when we assume that everyone else agrees with what we do (even though they may not),Psychology,Development
foot-in-the-door phenomenon,"strategy that involves enticing people to take small actions, and then gradually asking for larger and larger commitments",Psychology,Development
formal operational stage,"Piaget's fourth stage of his developmental theory from age 12- adulthood. During this stage, people learn abstract and moral reasoning",Psychology,Development
frustration-aggression principle,"suggests that when someone is blocked from achieving a goal, this frustration can trigger anger, which can lead to aggression",Psychology,Development
functional fixedness,tendency to perceive the functions of objects as fixed and unchanging,Psychology,Development
fundamentalists,people who observe strict adherence to religious beliefs,Psychology,Development
gender bias in medicine,occurs when women and men receive different treatment for the same disease or illness,Psychology,Development
genital stage,"fifth of Freud's five psychosexual stages, begins in adolescence, when sexual themes resurface and a person's life/sexual energy fuels activities such as friendships, art, sports, and careers",Psychology,Development
group,"collection of any number of people (as few as two) who regularly interact and identify with each other, sharing similar norms, values, and expectations",Psychology,Development
growth hormone,"hormone released by the anterior pituitary that targets all cells in the body. GH stimulates whole body growth in children and adolescents, and increases cell turnover rate in adults",Psychology,Development
habit,action that is performed repeatedly until it becomes automatic,Psychology,Development
hallucination,false sensory perception that occurs while a person is conscious (not during sleep or delirium),Psychology,Development
halo effect,"tendency to believe that people have inherently good or bad natures, rather than looking at individual characteristics",Psychology,Development
id,"according to freud's psychoanalytic theory, the largely unconscious id is the source of energy and instincts. Ruled by the pleasure principle, the id seeks to reduce tension, avoid pain, and gain pleasure. It doesn't use logical or moral reasoning, and it doesn't distinguish mental images from external objects and according to freud, young children function almost entirely from the id",Psychology,Development
identity formation (individuation),development of a distinct individual personality,Psychology,Development
impression management or self-presentation,the conscious or unconscious process whereby people attempt to manage their own images by influencing the perceptions of others. This is achieved by controlling the amount or type of information or the social interaction,Psychology,Development
incongruity,emotional result when the real self falls short of the ideal self,Psychology,Development
insecure attachment,"style of relating to others that forms when an infant has caregivers who are inconsistently responsive or unresponsive to needs. In Ainsworth's experiments, insecurely attached infants were found to be less likely to explore their surroundings in the presence of their mother. They may be extremely upset or demonstrate indifference when the mother returned to the room",Psychology,Development
intellectual disability,classification for individuals who have an IQ below 70 and functional impairment in their everyday lives (called mental retardation),Psychology,Development
internal locus of control,belief of an individual that she is able to influence outcomes through her own efforts and actions,Psychology,Development
just world phenomenon,"tendency to believe that the world is fair and people get what they deserve. When bad things happen to others, it is the result of their actions or their failure to act, and when good things happen to us, it is because we deserved it",Psychology,Development
K-complex,large and slow wave with a duration of a half second that occurs in Stage 2 sleep,Psychology,Development
language,symbolic system that is codified for communication,Psychology,Development
language acquisition,process by which infants learn to understand and speak their native language,Psychology,Development
language acquisition device,"innate feature unique to the human mind that allows people to gain mastery of language from limited exposure during sensitive developmental years in early childhood, as hypothesized by Noam Chomsky",Psychology,Development
latent content,"according to Freud, the unconscious drives and wishes that are difficult to express and underlie dreams",Psychology,Development
linguistic relativity hypothesis,asserts that the language one speaks determines their thoughts and perceptions of the world,Psychology,Development
long-term memory,"information that is retained long-term, potentially indefinitely; it is believed to have an infinite capacity",Psychology,Development
looking glass self,"idea that a person's sense of self develops from interpersonal interactions with others in society and the perceptions of others. According to this idea, people shape their self-concepts based on their understanding of how others perceive them",Psychology,Development
Lutenizing Hormone (LH),"tropic hormone produced by the anterior pituitary gland that targets the gonads. In females, LH triggers ovulation and the development of the corpus luteum during the menstrual cycle; in males, LH stimulates the production and release of testosterone",Psychology,Development
manic episode,"experience of an abnormal euphoric, unrestrained, or irritable mood, with at least three of the following symptoms: grandiose, exaggerated, or delusional self-esteem, high energy with little need for sleep, increased talkativeness and pressured speech, poor judgment; increased psychomotor and goal directed activity, and distractability with flight of ideas or racing thoughts",Psychology,Development
manifest content,"according to Freud, the overt storylines of dreams",Psychology,Development
matrilineal descent,system of lineage in which the relatives on the mother's side are considered most important; an individual belongs to their mother's lineage,Psychology,Development
meditation,mindfulness technique for training attention in a particular way; may involve intense focus on one object of attention or broad attention to a field of awareness,Psychology,Development
mental set,"tendency to fixate on ideas and solutions that have worked in the past, even if they may not apply to the current situation",Psychology,Development
mere exposure effect,phenomenon where people develop a preference for things because they have been exposed to them (sometimes repeatedly),Psychology,Development
mere presence,"most basic level of interaction between individuals; when people are simply in each other's presence, either completing similar activities or just minding their own business",Psychology,Development
Mindfulness-based stress reduction (MBSR),"Protocol involving mindfulness meditation shown to be effective for helping individuals with pain, stress, and anxiety",Psychology,Development
monogamy,form of marriage in which two individuals are married only to each other,Psychology,Development
mood,person's sustained internal emotion that colors his/her view of life,Psychology,Development
moro reflex,"startle reflex, in response to a loud sound or sudden movement, and infant will startle; the baby throws back its head and extends its arms and legs, cries, then pulls the arms and legs back in. This reflex is present at birth, and lasts until about six months",Psychology,Development
negative feedback,"biological process that works by maintaining stability or homeostasis; a system produces a result, which feeds back to stop the system and maintain the result within tightly controlled bounds",Psychology,Development
nonverbal communication,involves all of the methods for communication that we use that do not include words,Psychology,Development
object permanence,understanding that things continue to exist once they are out of sight,Psychology,Development
Oedipus complex,"complex occurs during phallic stage (3rd stage) of Freud's five psychosexual stages) when a male child is sexually attracted to his mother and hostile toward his father, who is seen as a rival",Psychology,Development
optimism bias,belief that bad things happen to other people but not to us,Psychology,Development
oral stage,"first of Freud's psychosexual stages, in which the child seeks sensual pleasure through oral activities such as sucking and chewing",Psychology,Development
overconfidence,overestimations of the accuracy of one's knowledge and judgments,Psychology,Development
parallel processing,system whereby many aspects of a stimulus are processed simultaneously instead of in a step-by-step or serial fashion,Psychology,Development
preoperational stage,"Piaget's second stage in his developmental theory from ages 2 to 7. During this stage, the children learn to pretend play and the idea that a symbol can represent something else and they remain egocentric",Psychology,Development
primary groups,"groups that play a more important role in an individual's life (often meeting emotional needs); these groups are usually smaller and include those with whom the individual engages with in person, in long-term, emotional ways",Psychology,Development
primacy effect,tendency to better recall the first items in a list,Psychology,Development
primary reinforcers,unconditioned consequences that are insanely satisfying or desirable and may be biologically driven,Psychology,Development
projection bias,"occurs when we assume others have the same beliefs we do, due to our tendency to look for similarities between ourselves and others",Psychology,Development
prospective memory,remembering to do something in the future,Psychology,Development
psychological fixation,"according to Freud, adult personality is largely determined during the first three psychosexual stages. If parents either frustrate or overindulge the child's expression of sensual pleasure at a certain stage so that the child doesn't resolve that stage's developmental conflicts, the child becomes fixated at that stage, and will, as an adult, continue to seek sensual pleasure through behaviors related to that stage",Psychology,Development
psychosexual stages,"According to Freud's psychoanalytic theory, individuals progress through five psychoseuxal stages, one corresponding to the part of the body that is the focus of sensual pleasure. The five stages are oral, anal, phallic, latent, and genital",Psychology,Development
race,"biological, anthropological, or genetic origin of an individual, and includes the following U.S. Census categories: White, Black, or African American, American Indian, or Alaska Native, Asian, and Native Hawaiian or Other Pacific Islander",Psychology,Development
racism,"prejudices and discriminatory actions that are based on race (or ethnicity), or hold that one race (or ethnicity) is inferior to another",Psychology,Development
recency effect,tendency to recall the last items presented in a list,Psychology,Development
relative refractory period,"period of time following an action potential when it is possible, but difficult, for the neuron to fire a second action potential, due to the fact that the membrane is further from threshold potential (hyperpolarized)",Psychology,Development
REM stage,"Final stage of sleep characterized by rapid eye movements (REM) and beta waves, which are seen in individuals when they are awake. Despite these wave patterns, however, the sleeper is paralyzed aside from small twitches, leading to the descriptions of this stage as ""paradoxical sleep."" This is generally when dreams occur.",Psychology,Development
representativeness heuristic,mental shortcut where one judges the likelihood of things based on typical mental representations or examples of those things,Psychology,Development
residual-type SCZ,"where acute phase of SCZ has resolved and the criteria for SCZ are no longer met, but some symptoms are still present in mild forms",Psychology,Development
retrograde amnesia,occurs when one is unable to recall information that was previously encoded,Psychology,Development
Sapir-Whorf Hypothesis,"hypothesis asserts that people understand their world through language and that language, in turn, shapes how people experience their world",Psychology,Development
schemas,mental frameworks or blueprints that shape and are shaped by experience,Psychology,Development
SCZ,"disorder that is chronic and incapacitating and is characterized by psychosis and material impairment in social, occupational, or personal functioning",Psychology,Development
secure attachment,"style of relating to others that forms when an infant has caregivers who are sensitive and responsive to needs. In Ainsworth's experiments, securely attached infants were found to be willing to explore surroundings in the presence of the mother. They were upset but consolable when the mother left and then returned to the room",Psychology,Development
selective attention,process by which one input is selected to focus on out of the field of possibilities in the environment,Psychology,Development
selective priming,being predisposed to observe something because it has previously been encountered frequently or is expected,Psychology,Development
self-actualization (actualizing tendency),"according to humanistic psychology, individuals have an innate drive to maintain and enhance themselves, or realize their human potential, as long as no obstacle intervenes",Psychology,Development
self-consciousness,awareness of one's self,Psychology,Development
self-efficacy,belief in one's own competence and effectiveness,Psychology,Development
self-esteem,one's overall self-evaluation of one's self-worth,Psychology,Development
self-fulfilling prophecy,when stereotypes lead a person to behave in such as way as to affirm the original stereotypes,Psychology,Development
self-handicapping,strategy in which people create obstacles and excuses to avoid self-blame when they do poorly,Psychology,Development
self-reference effect,tendency to better remember information relevant to ourselves,Psychology,Development
self-schemas,beliefs and ideas people have about themselves,Psychology,Development
self-serving bias,tendency to attribute our successes to ourselves and our failures to others or the external environment,Psychology,Development
sensorimotor stage,first stage of piaget's developmental theory from birth to age 2 where babies learn object permanence and demonstrate stranger anxiety,Psychology,Development
serial position effect,"includes primacy and recency effect and when information is presented serially in a list format, individuals are more likely to recall the first and last items presented",Psychology,Development
sleep cycle,"one sleep cycle consists of a progression through sleep stages 1-4 in sequence, followed by an ascension from 4 to 1 and then a transition into REM sleep and it typically takes about 90 minutes",Psychology,Development
sleep spindle,bursts of waves present in stage 2 sleep,Psychology,Development
social support,perception that one is cared for and part of a social network; supportive resources can be tangible or emotional,Psychology,Development
soma,cell body of a neuron,Psychology,Development
somnambulism,sleepwalking,Psychology,Development
stranger anxiety,developmentally typical anxiety displayed by children from approximately 8 to 12 months of age toward close contact with strangers. May be expressed by crying and clinging to familiar caregivers,Psychology,Development
temperament,dispositional emotional excitability. Tends to be fairly stable through life span,Psychology,Development
telencephalon,cerebral hemispheres,Psychology,Development
theta waves,waves of low to moderate intensity and intermediate frequency present during stage 1 of sleep,Psychology,Development
trait,"internal, stable, and enduring aspects of personality that should be consistent across most situations",Psychology,Development
trial and error,strategy of problem-solving that involves trying different alternatives sequentially until success is achieved,Psychology,Development
undifferentiated-type SCZ,"characterized by the basic criteria, but symptoms that don't fit into one of the other subtypes",Psychology,Development
universal grammar,"basic rules of language, presumed to be innate, that allow the human mind to gain mastery of language from limited exposure during sensitive developmental years in early childohod",Psychology,Development
vitreous humor,"thick, gelatinous fluid found in the posterior segment of the eye (between the lens and the retina). The vitreous humor is only produced during a fetal development and helps maintain intraocular pressure (pressure inside the eye)",Psychology,Development
Weber's Law,law pertains to sensory perception and dictates that two stimuli must differ by a constant proportion in order for their difference to be perceptible,Psychology,Development
addiction,a compulsion to do an act repeatedly; can consist of a psychological dependence and/or a physical dependence as evidenced by drug addiction withdrawal,Psychology,Disorders
Alzheimer's disease,"most prevalent forms of the dementia, characterized behaviorally by the inability to form new memories, known as anterograde amnesia",Psychology,Disorders
antisocial personality disorder,"psychological disorder characterized by a history of serious behavior problems beginning in adolescence, including significant aggression against people or animals, deliberate property destruction, lying or theft, and serious rule violation",Psychology,Disorders
anxiety disorder,"emotional state of unpleasant physical and mental arousal; a preparation to fight or flee. in a person with an anxiety disorder, the anxiety is intense, frequent, irrational (out of proportion), and uncontrollable; it causes significant distress or impairment of normal functioning",Psychology,Disorders
avoidant personality disorder,"characterized by feelings of inadequacy, inferiority, and undesirability, and a preoccupation with fears of criticism",Psychology,Disorders
bipolar disorder,"cyclic mood episodes at both extremes/poles (depression and mania). In bipolar I disorder, and person has experienced at least one manic episode or mixed and in bipolar II, the manic phases are less extreme",Psychology,Disorders
bipolar neuron,"a neuron with a single axon and a single dendrite, often projecting from opposite sides of the cell body. bipolar neurons are typically associated with sensory organs",Psychology,Disorders
body dysmorphic disorder,"characterized with preoccupation with a slight physical anomaly or imagined defect in appearance, often involving the face, hairs, breasts, or genitalia",Psychology,Disorders
conversion disorder,"disorder characterized by a change in sensory or motor function that has no discernible physical or physiological cause, and which seems to be significantly affected by psychological factors. The symptoms of conversion disorder begin or worsen after an emotional conflict or other stressor",Psychology,Disorders
cyclothymic disorder,"disorder similar to bipolar disorder but the moods are less extreme and the person has experienced cyclic moods, including many hypomanic episodes, as well as many episodes of depressed mood that are milder than a major depressive episode for at least two years",Psychology,Disorders
dependent personality disorder,characterized by a need to be taken care of by others and an unrealistic fear of being unable to take care of himself or herself,Psychology,Disorders
depersonalization disorder,"characterized by a recurring or persistent feeling of being cut off or detached from one's body or mental processes, as if observing one's self from the outside",Psychology,Disorders
Diagnostic and Statistical Manual of Mental Disorders (DSM),universal authority on the classification and diagnosis of psychological disorders; the current latest edition is the fifth edition of the DSM,Psychology,Disorders
dissociative disorder,"characterized by a person's thoughts, feelings, perceptions, memories, or behaviors being separated from conscious awareness and control, in a way that is not explainable as mere forgetfulness",Psychology,Disorders
dissociative identity disorder,"characterized by alternating between two or more distinct personality states (identities), only one of which interacts with other people at any one time",Psychology,Disorders
dysthymic disorder,"characterized as a less intense, chronic form of depression and a person has felt milder symptoms of depression most days for at least two years, with symptoms never absent for more than two months, and without experiencing a major depressive episode",Psychology,Disorders
generalized anxiety disorder (GAD),"characterized by tension or anxiety much of the time about many issues, but without the presences of panic attacks",Psychology,Disorders
hippocampus,"brain structure located in the medial temporal lobe of the brain and plays a key role in forming memories. Damage to this part of the brain can lead to an inability to form new memories, or anterograde amnesia",Psychology,Disorders
histrionic personality disorder,"characterized by a strong desire to be the center of attention, and seeking to attract attention through personal appearance and seductive behavior",Psychology,Disorders
insomnia,"most common sleep disorder, characterized by difficulty falling or stay asleep",Psychology,Disorders
major depressive disorder,"characterized by one or more major depressive episodes, where a person has felt worse than usual for most of the day, nearly every day, for at least two weeks",Psychology,Disorders
mood disorder,"characterized by a persistent pattern of abnormal mood serious enough to cause significant personal distress and/or significant impairment to social, occupational, or personal functioning",Psychology,Disorders
narcisstic personality disorder,"psychological disorder characterized by feeling of grandiosity, with fantasies of beauty, brilliance, and power",Psychology,Disorders
narcolepsy,"sleep disorder in which the individual experiences periodic, overwhelming sleepiness during waking periods that usually last less than five minutes",Psychology,Disorders
night terror,"usually occur during stage 3 sleep, unlike nightmares. The individual may sit up or walk around, babble, and appear terrified, although none of it is remembered the next morning",Psychology,Disorders
obsessive-compulsive disorder (OCD),"characterized by obsessions (repeated, intrusive, uncontrollable thoughts or impulses that cause distress or anxiety), compulsions (repeated physical or mental behaviors that are done in response to an obsession or in accordance with a set of strict rules, in order to reduce distress or prevent something dreaded from occurring), or both",Psychology,Disorders
obsessive-compulsive personality disorder (OCPD),characterized by accumulation of money of worthless objects,Psychology,Disorders
pain disorder,characterized by clinically important pain whose onset or severity seems significantly affected by psychological factors,Psychology,Disorders
panic disorder,"characterized by panic attacks, which can be cued by a certain situation, but are more often uncued or ""spontaneous,"" occurring frequently and unexpectedly",Psychology,Disorders
psychological disorder,"set of behaviors and/or psychological symptoms that are not in keeping with cultural norms, and that are severe enough to cause significant personal distress and/or significant impairment to social, occupational, or personal functioning",Psychology,Disorders
schizoaffective disorder,"characterized by the combination of mood and psychotic symptoms: in this disorder, both the symptoms of SZC and Major depressive, manic, or mixed episode are experienced for at least one month",Psychology,Disorders
schizoid personality disorder,"characterized by little interest or involvement in close relationships, even those with family members",Psychology,Disorders
schizophreniform disorder,"characterized by symptoms of SCZ present for a period of one to six months, during which the symptoms may or may not have interfered with functioning",Psychology,Disorders
schizotypal personality disorder,"characterized by several traits that cause problems interpersonally, including constricted or inappropriate affect; magical or paranoid thinking; and odd beliefs, speech, behavior, appearance, and perceptions",Psychology,Disorders
sleep apnea,sleep disorder in which the individual intermittently stops breathing during sleep and may wake up gasping for breath,Psychology,Disorders
specific phobia,"persistent, strong, and unreasonable fear of a certain object or situation. Specific phobias are classified into 4 types: situational, natural environment, blood-injection, animal",Psychology,Disorders
somatization disorder,"characterized by a variety of physical symptoms over an extended period of time, including: pain, GI, sexual, and pseudoneurological symptoms",Psychology,Disorders
somatoform disorder,"characterized primarily by physical symptoms and concerns, which many mimic physical (somatic) disease. However, the symptoms are not explainable medically and do not improve with medical treatment",Psychology,Disorders
withdrawal,uncomfortable and often painful experience that may accompany the discontinuing of a drug. Withdrawal is immediately alleviated if the user takes the substance (thus reinforcing the addiction) or dissipates slowly over time (like in the case of detoxification),Psychology,Disorders
acquisition,"in classical conditioning, the process of learning the association between a conditioned stimulus and response",Psychology,Learning
algorithm,a step-by-step detailing the steps that aids with problem solving,Psychology,Learning
altruism,"a behavior that helps ensure the success or survival of the rest of the social group, possibly at the expense of the success or survival of the individual",Psychology,Learning
associative learning,"process of learning in which one event, object, or action is directly connected with another. Two general categories include classical and operant conditioning",Psychology,Learning
attitude,"person's feelings and beliefs about other people or events around him, and his behavioral restrictions based on those underlying evaluations",Psychology,Learning
behavioral genetics,study the role of inheritance in interacting with experience to determine an individual's personality and behaviors,Psychology,Learning
behavioral therapy,type of therapy uses conditioning to shape a client's behaviors in the desired direction,Psychology,Learning
behaviorism,"according to this perspective, personality is a result of learned behavior patterns based on a person's environment. Behaviorism is deterministic, proposing that people begin as blank slates, and that environmental reinforcement and punishment completely determine an individual's subsequent behavior and personality",Psychology,Learning
borderline personality,"characterized by enduring or recurrent instability in impulse control, mood, and image of self and others. impulsive and reckless behavior, together with extreme mood swings, reactivity, and anger, can lead to unstable relationships and to damage both of the person with the disorder and of others in his or her life",Psychology,Learning
catatonic-type SCZ,psychological disorder characterized by psychosis in the form of catatonic behavior (including extremely retarded or excited motor activity),Psychology,Learning
central executive,"Part of Alan Baddeley's model of working memory that oversees the visuospatial sketchpad, phonological loop, and episodic buffer. Responsible for shifting and dividing attention",Psychology,Learning
chunking,memory technique in which information to be remembered is organized into discrete groups of data. this clustering allows more information to be remembered overall,Psychology,Learning
cognitive behavioral therapy (CBT),therapy that addresses thoughts and behaviors that are maladaptive by using goal-oriented and systematic techniques,Psychology,Learning
cognitive psychology,"tradition of psychology that focuses on the brain, cognitions, and thoughts as mediating learning and stimulus-response behaviors",Psychology,Learning
conformity,phenomenon of adjusting behavior or thinking based on the behavior or thinking of others,Psychology,Learning
death instinct,"according to the psychoanalytic theory, the death instinct drives aggressive behaviors fueled by an unconscious wish to die or to hurt oneself or others",Psychology,Learning
echoic memory,"memory for sound, which lasts for about 3-4 seconds",Psychology,Learning
encoding,process of transferring sensory information into the memory system,Psychology,Learning
episodic buffer,part of Alan Baddeley's model of working memory that interacts with information in long-term memory,Psychology,Learning
episodic memory,autobiographical memory for information of personal importance,Psychology,Learning
escape learning,"through operant conditioning, this is the process of learning to engage in a particular behavior in order to get away from a negative or aversive stimulus",Psychology,Learning
extinction,"classical conditioning, unpairing of conditioned and unconditioned stimuli, accomplished by introducing the conditioned stimulus repeatedly in the absences of the unconditioned stimulus",Psychology,Learning
false memory,inaccurate memory created by the power of the imagination or suggestion,Psychology,Learning
fixed-interval schedule,reinforcement schedule in which reward is offered after a set period of time has passed,Psychology,Learning
fixed-ratio schedule,reinforcement schedule in which reward is offered after a set number of instances of a behavior,Psychology,Learning
folkways,"norms that are more informal, yet shape everyday behavior (styles of dress, ways of greeting)",Psychology,Learning
fundamental attribution error,when we tend to underestimate the impact of the situation and overestimate the impact of a person's character or personality on their behavior,Psychology,Learning
general intelligence,foundational base of intelligence that supports more specialized abilities,Psychology,Learning
generalization,"in classical conditioning, the process by which stimuli similar to conditioned stimulus also become conditioned stimulus that elicit the conditioned response",Psychology,Learning
group pressure (peer pressure),"pressure exerted by a group that causes one to change behaviors, values, attitudes, or beliefs",Psychology,Learning
heuristics,mental shortcuts used for problem solving and using them sacrifices accuracy for speed,Psychology,Learning
iconic memory,"brief photographic memory for visual information, which decays in a few tenths of a second",Psychology,Learning
illusory correlation,"perceived relationship between two things (people, events, or behaviors) even when none exists",Psychology,Learning
implicit (procedural) memory,memory that involves conditioned associations and knowledge of how to do something,Psychology,Learning
infantile amnesia,"lack of explicit memory for events that occurred before the age of roughly 3.5 years. While people are unable to recall memories from this part of their life, learning and memory still do occur even though the cause is unknown",Psychology,Learning
instrumental conditioning,operant conditioning,Psychology,Learning
justification of effort,"when people modify their attitudes to match their behaviors, specifically those involving effort",Psychology,Learning
latent learning,learning that takes place in the absence of any observable behavior to show that it has occurred. This learning can later manifest and be demonstrated as observable behavior when it is required,Psychology,Learning
libido,"according to psychoanalytic theory, the libido is the life instinct, which drives behaviors focused on survival, growth, creativity, pain avoidance, and seeking pleasure",Psychology,Learning
